1,1.735612,-2.207123,-0.011230
2,0.914617,-1.060194,-0.114803
3,1.558811,0.202943,-0.268327
4,2.967176,0.268091,-0.263867
5,3.760158,-0.877677,-0.120786
6,3.133972,-2.125727,-0.003063
7,-0.571881,-1.203425,-0.090941
8,0.793514,1.439856,-0.569403
9,0.031931,2.242924,0.477667
10,0.269671,3.723806,0.483029
11,-0.315620,1.619497,1.795346
12,-1.457861,-0.231526,-0.635211
13,-2.849016,-0.440066,-0.571613
14,-3.394889,-1.587323,0.015441
15,-2.533700,-2.534472,0.587523
16,-1.150580,-2.332337,0.541743
17,-1.061236,1.103378,-1.237750
18,-1.106526,1.103463,-2.343715
19,-1.623860,2.218822,-0.643840
20,1.274673,-3.194283,0.024964
21,3.440452,1.245132,-0.392298
22,4.849225,-0.797898,-0.124037
23,3.727397,-3.038833,0.076739
24,1.304642,2.102069,-1.276677
25,0.252716,4.115353,-0.542523
26,-0.472032,4.253359,1.097552
27,1.278583,3.899844,0.907178
28,-0.657353,0.584658,1.694781
29,0.609234,1.610462,2.404636
30,-1.072616,2.218330,2.320003
31,-3.504964,0.339406,-0.963728
32,-4.477816,-1.722482,0.055491
33,-2.933931,-3.419378,1.086773
34,-0.504877,-3.053530,1.043045
